pub_rep,researcher,title_paper,listed_species,year,listed_sp_stage,prey_diet_item,prey_diet_binomial,prey_sp_stage,method,prey_ecosystem,prey_phylum,prey_class,prey_functional_group,prey_provenance,method_simple_1,method_simple_2
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,california red-legged frog,Rana draytonii,juvenile,isotopes,aquatic,vertebrate,amphibia,carnivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,california red-legged frog,Rana draytonii,larva,isotopes,aquatic,vertebrate,amphibia,omnivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,california newt,Taricha torosa,larva,isotopes,terrestrial,vertebrate,amphibia,invertivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,painted lady butterfly,Vanessa cardui,larva,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,desert harvester ant,Veromessor pergandei,larva,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,western toad,Anaxyrus boreas,juvenile,stomach contents,terrestrial,vertebrate,amphibia,invertivore,native,stomach contents,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,california vole,Microtus californicus,adult,stomach contents,terrestrial,vertebrate,mammalia,herbivore,native,stomach contents,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,california deermouse,Peromyscus californicus,adult,stomach contents,terrestrial,vertebrate,mammalia,herbivore,native,stomach contents,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,northern pacific tree frog,Pseudacris regilla,juvenile,stomach contents,aquatic,vertebrate,amphibia,insectivore,native,stomach contents,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,western harvest mouse,Reithrodontomys megalotis,adult,stomach contents,terrestrial,vertebrate,mammalia,granivore,native,stomach contents,none
1,cjl,Food Web Linkages Demonstrate Importance of Terrestrial Prey for the Threatened California Red-Legged Frog,Rana draytonii,2014,adult,common garter snake,Thamnophis sirtalis,adult,stomach contents,terrestrial,vertebrate,reptilia,carnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,house cricket,Acheta domesticus,adult,stomach contents,terrestrial,invertebrate,insecta,omnivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,house cricket,Acheta domesticus,adult,stomach contents,terrestrial,invertebrate,insecta,omnivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,oleander aphid,Aphis nerii,larva,stomach contents,terrestrial,invertebrate,insecta,herbivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,western honey bee,Apis mellifera,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,common pill-bug,Armadillidium vulgare,adult,stomach contents,terrestrial,invertebrate,malacostraca,detritivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,pasture wireworm,Conoderus exsul,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,garden snail,Cornu aspersum,adult,stomach contents,terrestrial,invertebrate,gastropoda,herbivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,garden snail,Cornu aspersum,adult,stomach contents,terrestrial,invertebrate,gastropoda,herbivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,common woodlouse,Oniscus asellus,adult,stomach contents,terrestrial,invertebrate,malacostraca,detritivore,introduced,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,toe biter,Abedus indentatus,adult,stomach contents,aquatic,invertebrate,insecta,carnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,agonum ground beetle,Agonum punctiforme,adult,stomach contents,terrestrial,invertebrate,insecta,omnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,black ground beetle,Anisodactylus californicus,adult,stomach contents,terrestrial,invertebrate,insecta,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,common water strider,Aquarius remigis,adult,stomach contents,aquatic,invertebrate,insecta,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,beach wolf spider,Arctosa littoralis,adult,stomach contents,terrestrial,invertebrate,arachnida,carnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,beach wolf spider,Arctosa littoralis,adult,stomach contents,terrestrial,invertebrate,arachnida,carnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,longhorned beetle,Arhopalus asperatus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,tumblebug,Canthon simplex,adult,stomach contents,terrestrial,invertebrate,insecta,detritivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,tiger beetle,Cicindela willistoni,adult,stomach contents,terrestrial,invertebrate,insecta,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,dune beetle,Coelus ciliatus,adult,stomach contents,terrestrial,invertebrate,insecta,omnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,coniontis ground beetle,Coniontis subpubescens,adult,stomach contents,terrestrial,invertebrate,insecta,detritivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,death-feigning beetle,Cryptoglossa muricata,adult,stomach contents,terrestrial,invertebrate,insecta,omnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,checkered beetle,Cymatodera californica,adult,stomach contents,terrestrial,invertebrate,insecta,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,spotted cucumber bettle,Diabrotica undecimpunctata,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,metallic wood-boring beetle,Dicerca hornii,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,western firefly,Ellychnia californica,adult,stomach contents,terrestrial,invertebrate,insecta,invertivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,three-spined stickleback,Gasterosteus aculeatus,adult,stomach contents,aquatic,vertebrate,actinopterygii,carnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,harpalus ground beetle,Harpalus somnulentus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,brown lacewing,Hemerobius pacificus,larva,stomach contents,terrestrial,invertebrate,insecta,invertivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,stinkbug,Holcostethus abbreviatus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,giant western crane fly,Holorusia hespera,larva,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,white-lined sphinx,Hyles lineata,larva,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,red-shouldered bug,Jadera haematoloma,juvenile,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,predaceous diving beetle,Leconectes striatellus,larva,stomach contents,aquatic,invertebrate,insecta,invertivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,melanotus click beetle,Melanotus longulus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,desert broad-nosed weevil,Ophryastes desertus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,california deermouse,Peromyscus californicus,adult,stomach contents,terrestrial,vertebrate,mammalia,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,pirate wolf spider,Pirata piraticus,larva,stomach contents,terrestrial,invertebrate,arachnida,carnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,northern pacific tree frog,Pseudacris regilla,adult,stomach contents,terrestrial,vertebrate,reptilia,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,western subterranean termite,Reticulotermes hesperus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,scaphinotus ground beetle,Scaphinotus punctatus,adult,stomach contents,terrestrial,invertebrate,insecta,invertivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,wolf spider,Schizocosa mccooki,adult,stomach contents,terrestrial,invertebrate,arachnida,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,alder fly,Sialis californica,larva,stomach contents,aquatic,invertebrate,insecta,invertivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,weevil,Sitona californicus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,tetralimonius click beetle,Tetralimonius ornatulus,adult,stomach contents,terrestrial,invertebrate,insecta,herbivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,calligrapher fly,toxomerus marginatus,larva,stomach contents,terrestrial,invertebrate,insecta,insectivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,sandhopper,Transorchestia chiliensis,adult,stomach contents,aquatic,invertebrate,malacostraca,omnivore,native,stomach contents,none
2,cjl,"Diet and Feeding Behavior of the California Red-Legged Frog, Rana Aurora Draytonii",Rana draytonii,1985,adult,water scavenger beetle,Tropisternus lateralis,adult,stomach contents,aquatic,invertebrate,insecta,invertivore,native,stomach contents,none
3,cjl,Food Sources of Sand Martins Riparia Riparia During their Breeding Season: Insights from Stable-Isotope Analysis,Riparia riparia,2007,adult,licorice seed beetle,Acanthoscelides aureolus,adult,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
3,cjl,Food Sources of Sand Martins Riparia Riparia During their Breeding Season: Insights from Stable-Isotope Analysis,Riparia riparia,2007,adult,stonefly,Capnia californica,adult,isotopes,terrestrial,invertebrate,insecta,omnivore,native,isotopes,none
3,cjl,Food Sources of Sand Martins Riparia Riparia During their Breeding Season: Insights from Stable-Isotope Analysis,Riparia riparia,2007,adult,bushtailed caddisfly,Gumaga griseola,adult,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
3,cjl,Food Sources of Sand Martins Riparia Riparia During their Breeding Season: Insights from Stable-Isotope Analysis,Riparia riparia,2007,adult,large milkweed bug,Oncopeltus fasciatus,adult,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
3,cjl,Food Sources of Sand Martins Riparia Riparia During their Breeding Season: Insights from Stable-Isotope Analysis,Riparia riparia,2007,adult,calligrapher fly,toxomerus marginatus,adult,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
3,cjl,Food Sources of Sand Martins Riparia Riparia During their Breeding Season: Insights from Stable-Isotope Analysis,Riparia riparia,2007,adult,painted lady butterfly,Vanessa cardui,adult,isotopes,terrestrial,invertebrate,insecta,herbivore,native,isotopes,none
5,cjl,"The Occurrence and Status of Candidate Species Listed by the U.S. Fish and Wildlife Service on Naval Petroleum Reserve #1, Kern County, California",Sorex ornatus relictus,1989,adult,callibaetis minnow mayfly,Callibaetis pictus,adult,stomach contents,aquatic,invertebrate,insecta,herbivore,native,stomach contents,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,wild hemlock,Conium maculatum,adult,observation,terrestrial,plant,magnoliopsida,producer,introduced,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,catchweed,Galium aparine,adult,observation,terrestrial,plant,magnoliopsida,producer,introduced,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,false barley,Hordeum murinum,adult,observation,terrestrial,plant,liliopsida,producer,introduced,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,box elder,Acer negundo,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,valley sedge,Carex barbarae,adult,observation,terrestrial,plant,liliopsida,producer,native,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,brittlebush,Encelia farinosa,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,california wildrose,Rosa californica,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
6,cjl,Riparian Brush Rabbit Habitat Requirements in Caswell Memorial State Park,Sylvilagus bachmani riparius,2010,adult,pacific blackberry,Rubus ursinus,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,common wild oat,Avena fatua,adult,observation,terrestrial,plant,liliopsida,producer,introduced,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,soft brome,Bromus hordeaceus,adult,observation,terrestrial,plant,liliopsida,producer,introduced,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,bull thistle,Cirsium vulgare,adult,observation,terrestrial,plant,magnoliopsida,producer,introduced,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,epazote,Dysphania ambrosioides,adult,observation,terrestrial,plant,magnoliopsida,producer,introduced,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,false barley,Hordeum murinum,adult,observation,terrestrial,plant,liliopsida,producer,introduced,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,Spiny sowthistle,Sonchus asper,adult,observation,terrestrial,plant,magnoliopsida,producer,introduced,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,saltmarsh baccharis,Baccharis douglasii,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,common spike-rush,Eleocharis palustris,adult,observation,terrestrial,plant,liliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,creeping lovegrass,Eragrostis hypnoides,adult,observation,terrestrial,plant,liliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,wire rush,Juncus balticus,adult,observation,terrestrial,plant,liliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,california wildrose,Rosa californica,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,pacific blackberry,Rubus ursinus,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
7,cjl,Sylvilagus Bachmani Diet,Sylvilagus bachmani riparius,1974,adult,cow clover,Trifolium wormskioldii,adult,observation,terrestrial,plant,magnoliopsida,producer,native,observation,none
8,cjl,"Spatial and Temporal Variability in Growth of Giant Gartersnakes Plasticity, Precipitation, and Prey",Thamnophis gigas,2018,adult,yellow-faced bumblebee,Bombus vosnesenskii,adult,observation,terrestrial,invertebrate,insecta,herbivore,native,observation,none
8,cjl,"Spatial and Temporal Variability in Growth of Giant Gartersnakes Plasticity, Precipitation, and Prey",Thamnophis gigas,2018,adult,channel catfish,Ictalurus punctatus,adult,observation,aquatic,vertebrate,actinopterygii,omnivore,native,observation,none
8,cjl,"Spatial and Temporal Variability in Growth of Giant Gartersnakes Plasticity, Precipitation, and Prey",Thamnophis gigas,2018,adult,baja california tree frog,Pseudacris hypochondriaca,adult,observation,terrestrial,vertebrate,amphibia,invertivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,western mosquitofish,Gambusia affinis,adult,observation,aquatic,vertebrate,actinopterygii,invertivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,channel catfish,Ictalurus punctatus,adult,observation,aquatic,vertebrate,actinopterygii,omnivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,california kingsnake,Lampropeltis californiae,adult,observation,terrestrial,vertebrate,reptilia,carnivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,bluegill,Lepomis macrochirus,adult,observation,aquatic,vertebrate,actinopterygii,carnivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,bullfrog,Lithobates catesbeianus,adult,observation,aquatic,vertebrate,amphibia,carnivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,bullfrog,Lithobates catesbeianus,juvenile,observation,aquatic,vertebrate,amphibia,omnivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,red swamp crawfish,Procambarus clarkii,adult,observation,aquatic,invertebrate,malacostraca,carnivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,northern pacific tree frog,Pseudacris regilla,adult,observation,terrestrial,vertebrate,reptilia,insectivore,native,observation,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,jack silverside,Atherinopsis californiensis,adult,stomach contents,aquatic,vertebrate,actinopterygii,omnivore,native,stomach contents,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,western mosquitofish,Gambusia affinis,adult,stomach contents,aquatic,vertebrate,actinopterygii,invertivore,native,stomach contents,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,california roach,Hesperoleucus symmetricus,adult,stomach contents,aquatic,vertebrate,actinopterygii,omnivore,native,stomach contents,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,green sunfish,Lepomis cyanellus,adult,stomach contents,aquatic,vertebrate,actinopterygii,omnivore,native,stomach contents,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,bullfrog,Lithobates catesbeianus,adult,stomach contents,aquatic,vertebrate,amphibia,carnivore,native,stomach contents,none
9,cjl,Diet and Prey Preference of Giant Gartersnakes (Thamnophis Gigas) in the Sacramento Valley of California,Thamnophis gigas,2015,adult,sierran tree frog,Pseudacris sierra,juvenile,stomach contents,terrestrial,vertebrate,amphibia,insectivore,native,stomach contents,none
